Data
29.4;W;Clarke to Sykes, OUT;James Sykes c Warner b Clarke 2 (8m 5b 0x4 0x6) SR: 40;
29.3;?;Clarke to Sykes, no run;
29.2;1;Clarke to Buck, 1 run;
29.1;1;Clarke to Sykes, 1 run;
28.6;?;Smith to Buck, no run;
28.5;1;Smith to Sykes, 1 run;
28.4;1;Smith to Buck, 1 run;
28.3;2;Smith to Buck, 2 runs;
28.2;?;Smith to Buck, no run;
28.1;?;Smith to Buck, no run;
27.6;?;Clarke to Sykes, no run;
27.5;1;Clarke to Buck, 1 run;
27.4;?;Clarke to Buck, no run;
27.3;?;Clarke to Buck, no run;
27.2;?;Clarke to Buck, no run;
27.1;?;Clarke to Buck, no run;
26.6;W;McKay to Abdul Razzaq, OUT;Abdul Razzaq c Warner b McKay 6 (23m 10b 1x4 0x6) SR: 60;
26.5;?;McKay to Abdul Razzaq, no run;
26.4;4;McKay to Abdul Razzaq, FOUR runs;
26.3;?;McKay to Abdul Razzaq, no run;
26.2;?;McKay to Abdul Razzaq, no run;
26.1;?;McKay to Abdul Razzaq, no run;
25.6;2;Pattinson to Buck, 2 runs;
25.5;?;Pattinson to Buck, no run;
25.5;1w;Pattinson to Buck, 1 wide;
25.4;?;Pattinson to Buck, no run;
25.4;1w;Pattinson to Buck, 1 wide;
25.3;?;Pattinson to Buck, no run;
25.2;W;Pattinson to Malik, OUT;Nadeem Malik c ?Wade b Pattinson 0 (2m 2b 0x4 0x6) SR: 0;
25.1;?;Pattinson to Malik, no run;
24.6;W;McKay to Dixey, OUT;Paul Dixey c Smith b McKay 17 (28m 27b 0x4 0x6) SR: 62.96;
24.5;?;McKay to Dixey, no run;
24.4;1;McKay to Abdul Razzaq, 1 run;
24.3;?;McKay to Abdul Razzaq, no run;
24.2;1;McKay to Dixey, 1 run;
24.1;?;McKay to Dixey, no run;
23.6;?;Pattinson to Abdul Razzaq, no run;
23.5;1;Pattinson to Dixey, 1 run;
23.4;?;Pattinson to Dixey, no run;
23.3;?;Pattinson to Dixey, no run;
23.2;2;Pattinson to Dixey, 2 runs;
23.1;?;Pattinson to Dixey, no run;
22.6;1;McKay to Dixey, 1 run;
22.5;?;McKay to Dixey, no run;
22.4;1;McKay to Abdul Razzaq, 1 run;
22.3;W;McKay to Smith, OUT;Greg Smith c Warner b McKay 44 (104m 59b 3x4 0x6) SR: 74.57;
22.2;?;McKay to Smith, no run;
22.1;3;McKay to Dixey, 3 runs;
21.6;?;Johnson to Smith, no run;
21.5;?;Johnson to Smith, no run;
21.4;1;Johnson to Dixey, 1 run;
21.3;?;Johnson to Dixey, no run;
21.2;1;Johnson to Smith, 1 run;
21.1;?;Johnson to Smith, no run;
20.6;1;Doherty to Smith, 1 run;
20.5;1;Doherty to Dixey, 1 run;
20.4;1;Doherty to Smith, 1 run;
20.3;1;Doherty to Dixey, 1 run;
20.2;?;Doherty to Dixey, no run;
20.1;1;Doherty to Smith, 1 run;
19.6;?;Johnson to Dixey, no run;
19.5;?;Johnson to Dixey, no run;
19.4;?;Johnson to Dixey, no run;
19.3;2;Johnson to Dixey, 2 runs;
19.2;1;Johnson to Smith, 1 run;
19.1;1;Johnson to Dixey, 1 run;
18.6;2;Doherty to Smith, 2 runs;
18.5;1;Doherty to Dixey, 1 run;
18.4;2;Doherty to Dixey, 2 runs;
18.3;?;Doherty to Dixey, no run;
18.2;?;Doherty to Dixey, no run;
18.1;1;Doherty to Smith, 1 run;
17.6;?;Watson to Dixey, no run;
17.5;W;Watson to Mommsen, OUT;Preston Mommsen b Watson 0 (2m 2b 0x4 0x6) SR: 0;
17.4;?;Watson to Mommsen, no run;
17.3;W;Watson to Thornely, OUT;Michael Thornely c ?Wade b Watson 4 (2m 3b 0x4 0x6) SR: 133.33;
17.2;1;Watson to Smith, 1 run;
17.1;3;Watson to Thornely, 3 runs;
16.6;1;Doherty to Thornely, 1 run;
16.5;W;Doherty to Boyce, OUT;Matthew Boyce c Clarke b Doherty 38 (43m 37b 5x4 0x6) SR: 102.7;
16.4;?;Doherty to Boyce, no run;
16.3;1;Doherty to Smith, 1 run;
16.2;1;Doherty to Boyce, 1 run;
16.1;1;Doherty to Smith, 1 run;
15.6;?;Watson to Boyce, no run;
15.5;1;Watson to Smith, 1 run;
15.4;1;Watson to Boyce, 1 run;
15.3;?;Watson to Boyce, no run;
15.2;1;Watson to Smith, 1 run;
15.2;1w;Watson to Smith, 1 wide;
15.1;?;Watson to Smith, no run;
14.6;?;Doherty to Boyce, no run;
14.5;4;Doherty to Boyce, FOUR runs;
14.4;1lb;Doherty to Smith, 1 leg bye;
14.3;1;Doherty to Boyce, 1 run;
14.2;1;Doherty to Smith, 1 run;
14.1;4;Doherty to Smith, FOUR runs;
13.6;1;Watson to Smith, 1 run;
13.5;1;Watson to Boyce, 1 run;
13.4;?;Watson to Boyce, no run;
13.3;?;Watson to Boyce, no run;
13.2;2;Watson to Boyce, 2 runs;
13.1;2;Watson to Boyce, 2 runs;
12.6;?;Pattinson to Smith, no run;
12.5;1;Pattinson to Boyce, 1 run;
12.4;?;Pattinson to Boyce, no run;
12.3;?;Pattinson to Boyce, no run;
12.2;4;Pattinson to Boyce, FOUR runs;
12.1;2;Pattinson to Boyce, 2 runs;
11.6;?;McKay to Smith, no run;
11.5;?;McKay to Smith, no run;
11.4;?;McKay to Smith, no run;
11.3;1;McKay to Boyce, 1 run;
11.2;4;McKay to Boyce, FOUR runs;
11.1;1lb;McKay to Smith, 1 leg bye;
10.6;?;Doherty to Boyce, no run;
10.5;2;Doherty to Boyce, 2 runs;
10.4;?;Doherty to Boyce, no run;
10.3;1;Doherty to Smith, 1 run;
10.2;?;Doherty to Smith, no run;
10.1;?;Doherty to Smith, no run;
9.6;4;McKay to Boyce, FOUR runs;
9.5;?;McKay to Boyce, no run;
9.4;2;McKay to Boyce, 2 runs;
9.4;1w;McKay to Boyce, 1 wide;
9.3;?;McKay to Boyce, no run;
9.2;?;McKay to Boyce, no run;
9.2;1w;McKay to Boyce, 1 wide;
9.1;1;McKay to Smith, 1 run;
8.6;?;Pattinson to Boyce, no run;
8.5;?;Pattinson to Boyce, no run;
8.4;4;Pattinson to Boyce, FOUR runs;
8.3;?;Pattinson to Boyce, no run;
8.2;?;Pattinson to Boyce, no run;
8.1;3;Pattinson to Smith, 3 runs;
7.6;2;McKay to Boyce, 2 runs;
7.5;?;McKay to Boyce, no run;
7.4;1w;McKay to Boyce, 1 wide;
7.4;?;McKay to Boyce, no run;
7.3;W;McKay to du Toit, OUT;Jacques Du Toit lbw b McKay 6 (14m 7b 0x4 1x6) SR: 85.71;
7.2;?;McKay to du Toit, no run;
7.1;1;McKay to Smith, 1 run;
6.6;?;Johnson to du Toit, no run;
6.5;6;Johnson to du Toit, SIX runs;
6.4;?;Johnson to du Toit, no run;
6.3;?;Johnson to du Toit, no run;
6.2;3;Johnson to Smith, 3 runs;
6.1;2;Johnson to Smith, 2 runs;
5.6;?;McKay to du Toit, no run;
5.5;1;McKay to Smith, 1 run;
5.4;?;McKay to Smith, no run;
5.3;?;McKay to Smith, no run;
5.3;1w;McKay to Smith, 1 wide;
5.2;?;McKay to Smith, no run;
5.1;?;McKay to Smith, no run;
4.6;1;Johnson to Smith, 1 run;
4.5;4;Johnson to Smith, FOUR runs;
