Data
355 to win. India's highest ODI score against Australia. In fact it's the highest by any team batting first against Australia; India's 12th score of 350 or more in ODIs - they've won each of their previous 11 matches; Dhoni's 124 is the highest by a captain against Australia, going past Jayasuriya 122 in Sydney in 2003;
40.1;?;Siddle to Raina, no run clears his front leg and goes for a big slog-swing across the line but doesn't connect well; the ball rolls back to the bowler;
39.6;3;Johnson to Raina, 3 runs backs away to the leg side and carves the short delivery over covers to pick up three runs.;
39.5;1;Johnson to Dhoni, 1 run fuller, homing in on the off stump, driven to sweeper cover;
39.4;?;Johnson to Dhoni, no run slower one outside off stump, Dhoni is through with his cut shot early and the ball bounces once before it reaches Paine;
39.3;?;Johnson to Dhoni, no run on the middle, worked to midwicket;
39.2;1;Johnson to Raina, 1 run goes right back, jumps to get on top of the bounce and taps it close on the off side and Dhoni calls him over for a quick single;
39.1;1;Johnson to Dhoni, 1 run from round the stumps to the right-hander, driven towards mid-off for a single;
39.1;2w;Johnson to Raina, 2 wide wayward delivery down the leg side and Paine does well to make a diving half-stop;
38.6;?;Hauritz to Dhoni, no run floats it well outside off and it goes on straight; Dhoni lunges across, trying to tap it to point for a single but is beaten. Paine quickly whips the bails off but Dhoni was in;
38.5;?;Hauritz to Dhoni, no run fuller, tad quicker, defended on the front foot;
38.4;1;Hauritz to Raina, 1 run straighter, on the middle, nurdled to short fine-leg region;
38.3;?;Hauritz to Raina, no run nice delivery, on a length outside off, spinning away, Raina thinks about pushing at it before taking his bat away from the line;
38.2;1;Hauritz to Dhoni, 1 run stays back to pick up a single with a punchy dab towards deep midwicket;
38.1;?;Hauritz to Dhoni, no run lunges forward and across, the ball dips on him and strikes the pad; well outside off stump, though;
37.6;1;Voges to Dhoni, 1 run on the middle and leg, wristed to backward square-leg region and retains the strike;
37.5;1;Voges to Raina, 1 run takes a couple of steps down the track, Voges slows up the pace and Raina tickles it around the corner to short fine-leg region;
37.4;2;Voges to Raina, 2 runs floated well outside off, Raina goes back and across to cut it well to deep backward point;
37.3;1;Voges to Dhoni, 1 run stretches forward to tap it to cover for a single;
37.2;1;Voges to Raina, 1 run turns in from outside off, forced away to sweeper cover;
37.1;1;Voges to Dhoni, 1 run goes on the back foot to work it past square-leg;
36.6;?;Hauritz to Raina, no run comes in with the arm, Raina leans forward to block it in front of him;
36.5;?;Hauritz to Raina, no run slightly short, cut to point;
36.4;?;Hauritz to Raina, no run edged but wide of slip. It turned from the middle and off line, from round the stumps, got the edge on the hesitant poke but didn't go to hands;
36.3;1;Hauritz to Dhoni, 1 run turns in from outside off, pushed wide of point;
36.2;1;Hauritz to Raina, 1 run on the leg and middle, turned past square-leg for a easy single;
36.1;1;Hauritz to Dhoni, 1 run floated on the off stump line, pushed away towards point for a quick single;
35.6;?;Siddle to Raina, no run full in length, timed sweetly down the track and Siddle lunges to make a half-stop;
35.5;?;Siddle to Raina, no run short in length, bouncing in on the off and middle line, defended to cover;
35.4;?;Siddle to Raina, no run One slip i place for Raina. It landed on a length, moved in towards middle and leg, Raina tries to work it to the on side and gets a leading edge back down the track;
35.3;?;Siddle to Raina, no run goes back to steer it to right of backward point where Vogues makes a tumbling stop to prevent the batsmen from taking a single;
35.3;1w;Siddle to Raina, 1 wide bounces it short but slips it down the leg side. Raina jumped back, trying to turn it to fine-leg but doesn't connect;
35.2;1;Siddle to Dhoni, 1 run fuller in length, outside off, Dhoni goes for his slash drive and edges it down to third man;
35.1;?;Siddle to Dhoni, no run length delivery on the off stump line, Dhoni stays back to guide it to point;
34.6;1;Hauritz to Dhoni, 1 run slower, turns in from outside off, cut away to deep point region;
34.5;1;Hauritz to Raina, 1 run back of length, Raina goes back to cut it past point for a single;
34.4;?;Hauritz to Raina, no run beaten outside off stump. It was just outside off, turns slightly away, Raina shaped to defend but ...;
34.3;1;Hauritz to Dhoni, 1 run turns in, shoveled away towards long-on;
34.2;4;Hauritz to Dhoni, FOUR runs slower in the air, drops it short and Dhoni slashes it to the cover boundary. He waited for the ball to arrive before slapping it really hard.;
34.1;1;Hauritz to Raina, 1 run around the off stump, from round the stumps, pushed through cover point for a single;
33.6;W;Siddle to Dhoni, OUT almost caught and bowled and Gambhir is run out! Confusion there! It was the slower one and Dhoni was beaten by it and scooped it just over the leaping Siddle. Gambhir had rushed off ; Hauritz swooped on the ball from mid-off and threw in a direct hit at the non-striker's end to remove Gambhir. Australia continue to impress in the field.;Gautam Gambhir run out (Hauritz) 76 (136m 80b 6x4 0x6) SR: 95;
33.5;?;Siddle to Dhoni, no run swing and a miss. It was a full in length outside off, Dhoni was on the back foot and tried to carve it away hard but no wood on leather;
33.4;1;Siddle to Gambhir, 1 run on the middle and leg, edges it to his pad and the ball rolls behind square-leg;
33.3;1;Siddle to Dhoni, 1 run leans forward to push it to mid-on;
33.2;2;Siddle to Dhoni, 2 runs short in length, straightening outside off stump, Dhoni tries to punch it to the off side but edges it to square-leg and they rush back for the second run;
33.1;1;Siddle to Gambhir, 1 run from round the stumps, full in length, outside off, sliced away to wide third man;
32.6;?;Watson to Dhoni, no run short of a good length delivery, Dhoni stands tall and punches it away on the off side;
32.5;?;Watson to Dhoni, no run defended outside the off stump, watchfully played;
32.4;1lb;Watson to Gambhir, 1 leg bye short of a good length delivery, on the middle and off stump line - Gambhir tries to work it away on the leg side but fails to make contact and the ball rolls away off the pad. Dhoni calls early and once again they scamper through for a well judged single;
32.3;1;Watson to Dhoni, 1 run again driven of the back-foot to deep cover, just a single on this occasion;
32.2;2;Watson to Dhoni, 2 runs fifty! punched off the back-foot to deep cover, gets it wide of the fielder in the deep and they comfortably come back for the second;
32.1;1;Watson to Gambhir, 1 run short of a good length delivery outside the off stump, Gambhir stays back and taps it away on the off side and they scamper through for a single. Excellent running between the wickets;
31.6;?;Hilfenhaus to Dhoni, no run leans forward to drive it to mid-on;
31.6;1w;Hilfenhaus to Dhoni, 1 wide bouncer just outside off stump, Dhoni shapes to pull but pulls out from the shot. The umpire has given it a wide. Harsh call.;
31.5;1;Hilfenhaus to Gambhir, 1 run goes for the yorker but drifts outside leg, stabbed past square-leg;
31.4;?;Hilfenhaus to Gambhir, no run again hurls it short and this one climbs higher, around chest-high, Gambhir takes his eyes off the ball as he fends it to the on side;
31.3;1;Hilfenhaus to Dhoni, 1 run bangs it in short, doesn't climb all that high and Dhoni pulls it to deep midwicket;
31.2;1;Hilfenhaus to Gambhir, 1 run leans forward to work into gaps on the leg side for yet another single;
31.1;1;Hilfenhaus to Dhoni, 1 run outside off stump and Dhoni carves it really hard but straight to backward point. The pace meant Vogues couldn't stop it cleanly;
30.6;?;Watson to Gambhir, no run angling away from Gambhir who tries to pick up another run to third man but doesn't get bat on ball;
30.5;1;Watson to Dhoni, 1 run length delivery around the off stump, pushed through covers;
30.4;?;Watson to Dhoni, no run on the off stump line, pushed to the off side;
30.3;1;Watson to Gambhir, 1 run slower, off cutter, allows to come to him before working it down to third man. 200 up now;
30.2;2;Watson to Gambhir, 2 runs leans forward to tap it towards backward point. There is a direct hit at the non striker's end and it runs away from an extra run;
30.1;2;Watson to Gambhir, 2 runs outside off stump line, cut away through the off side. 100 of the partnership comes up.;
29.6;?;Hilfenhaus to Dhoni, no run really full delivery, Dhoni doesn't' lean forward and hence, mistimes the drive;
29.5;1;Hilfenhaus to Gambhir, 1 run short delivery, climbs around the off stump, tapped down to third man;
29.4;?;Hilfenhaus to Gambhir, no run bouncer around the leg stump, Gambhir ducks.;
29.3;?;Hilfenhaus to Gambhir, no run fullish, angling away from Gambhir who tries to run it down to third man and is beaten. He is not happy with himself, suggests he should have driven it straight in the V;
29.2;2;Hilfenhaus to Gambhir, 2 runs on the middle and leg , worked to deep square-leg region for couple of runs;
29.1;4;Hilfenhaus to Gambhir, FOUR runs short in length, on the hips, poor delivery, tucked away to fine-leg boundary.;
28.6;4;Watson to Dhoni, FOUR runs stretches well forward to drive the full delivery well to the left of mid-off and it races away. He hit it uppishly but found the placement;
28.5;1;Watson to Gambhir, 1 run just outside off stump, Gambhir dabs it to third man;
28.4;1;Watson to Dhoni, 1 run on the pads, turned to long leg for a single;
28.3;1;Watson to Gambhir, 1 run short in length, just outside off stump, chopped down to third man;
28.2;1;Watson to Dhoni, 1 run jumps out and turns the length delivery past square-leg;
28.1;2;Watson to Dhoni, 2 runs walks right down the track and placed it deliberately to the left of mid-off. Neatly done. He just opened the bat-face, found the gap and ran the first run very hard;
27.6;1;Johnson to Dhoni, 1 run outside off stump, full in length, driven to sweeper cover;
27.5;1;Johnson to Gambhir, 1 run another tip and run from the Indian duo;
27.4;1;Johnson to Dhoni, 1 run leans forward to tap it away for another quick single;
27.3;1;Johnson to Gambhir, 1 run outside off stump, cut down to third man;
27.2;1;Johnson to Dhoni, 1 run mini drama short in length around the off stump line, pushed to point and they rush across. Ponting has a shy at the non-striker's end and misses. Dhoni collides with Johnson at the other end and he stumbled into the crease. Had the throw hit the stumps, he would have been run out. Dhoni wasn't pleased with the bowler but Johnson was was well within his rights to go towards the stumps to try collect the throw. It wasn't done deliberately.;
27.1;1;Johnson to Gambhir, 1 run full in length, around the off stump line, tapped close on the off side, towards backward point and they scamper across;
26.6;1;Hauritz to Gambhir, 1 run goes right back to work the ball off his pads;
26.5;?;Hauritz to Gambhir, no run lovely delivery, it drifted in from round the stumps, landed on a length around off and spun away past the defensive poke;
26.4;2;Hauritz to Gambhir, 2 runs slightly short, cut away past point;
26.3;1;Hauritz to Dhoni, 1 run leans forward to flick it away for a single;
26.2;1;Hauritz to Gambhir, 1 run leans across to push it to point and Johnson throws wide of Paine! Oh dear.. overthrows.;
26.1;1lb;Hauritz to Dhoni, 1 leg bye just outside the off stump line, again Dhoni tries to tickle it around the corner, misses and it rolls off the pad to short fine-leg region. He was struck outside the line;
25.6;1;Johnson to Dhoni, 1 run full and around the off stump, steered away behind point for a single;
25.5;1;Johnson to Gambhir, 1 run on the off stump line, guided down to third man and reaches his fifty. The team-mates in the dressing room give him a generous applause;
25.5;1w;Johnson to Gambhir, 1 wide again pushed down the leg side and Paine collects;
25.4;1;Johnson to Dhoni, 1 run on the middle and leg, turned to backward square-leg for a single;
25.3;1;Johnson to Gambhir, 1 run;
25.2;2lb;Johnson to Gambhir, 2 leg byes goes for the yorker, ends up as a low dipping full toss on the legs, rolls away to fine-leg. He was out to a similar ball in the first game; the line then was of course on middle;
25.1;1;Johnson to Dhoni, 1 run walks right across the stumps, anticipating another one well outside off and shovels it to midwicket;
25.1;1w;Johnson to Dhoni, 1 wide angles it across Dhoni, well outside the off stump.;
24.6;1lb;Hauritz to Dhoni, 1 leg bye shout for lbw as Dhoni goes for one of those pokes to the on side but probably struck just outside off stump;
24.5;?;Hauritz to Dhoni, no run worked to right of midwicket, Gambhir wants a single but Dhoni asks him to get back;
24.4;1;Hauritz to Gambhir, 1 run drags it shorter and its cut past point;
24.3;4;Hauritz to Gambhir, FOUR runs charges down the track and plays a quality inside-out shot over extra cover. He plays that shot really well. we even saw him take on Muralitharan repeatedly in that fashion.;
24.2;?;Hauritz to Gambhir, no run lands outside off and it keeps a touch low and that throws Gambhir off rhythm and he jabs it out to cover;
24.1;1;Hauritz to Dhoni, 1 run on the middle stump line, turns in, worked to short fine-leg region;
23.6;1;Voges to Dhoni, 1 run on the leg and middle, slight turn, nurdled around the corner;
23.5;1;Voges to Gambhir, 1 run short in length, perhaps expecting Gambhir to step out again but he stays back this time and cuts it away;
23.4;1;Voges to Dhoni, 1 run drops it slightly short and Dhoni gets on the back foot to punch it away to long-off;
23.3;1;Voges to Gambhir, 1 run again skips down the track, the ball is straighter this time and Gambhir pushes it down to long-on;
23.2;4;Voges to Gambhir, FOUR runs moves down the track, takes it on the full and slams it to extra-cover boundary;
23.1;1;Voges to Dhoni, 1 run slightly short in length, cut away to deep point region;
