Data
33.1;1;Jhye Richardson to White, 1 run;
32.6;1;Neser to White, 1 run;
32.5;?;Neser to White, no run;
32.4;1;Neser to Franklin, 1 run;
32.3;1;Neser to White, 1 run;
32.2;?;Neser to White, no run;
32.1;1;Neser to Franklin, 1 run;
31.6;1;Jhye Richardson to Franklin, 1 run;
31.5;1;Jhye Richardson to White, 1 run;
31.4;?;Jhye Richardson to White, no run;
31.3;?;Jhye Richardson to White, no run;
31.2;1;Jhye Richardson to Franklin, 1 run;
31.1;?;Jhye Richardson to Franklin, no run;
30.6;?;Stanlake to White, no run;
30.5;1;Stanlake to Franklin, 1 run;
30.4;?;Stanlake to Franklin, no run;
30.3;?;Stanlake to Franklin, no run;
30.2;1;Stanlake to White, 1 run;
30.1;?;Stanlake to White, no run;
29.6;?;Short to Franklin, no run;
29.5;1;Short to White, 1 run;
29.4;1;Short to Franklin, 1 run;
29.3;1;Short to White, 1 run;
29.2;4;Short to White, FOUR runs;
29.1;1;Short to Franklin, 1 run;
28.6;1;Stanlake to Franklin, 1 run;
28.5;?;Stanlake to Franklin, no run;
28.4;?;Stanlake to Franklin, no run;
28.3;?;Stanlake to Franklin, no run;
28.2;1;Stanlake to White, 1 run;
28.1;W;Stanlake to Holden, OUT;Max Holden c Marsh b Stanlake 71 (118m 71b 8x4 0x6) SR: 100;
27.6;1;Short to Holden, 1 run;
27.5;?;Short to Holden, no run;
27.4;1;Short to Franklin, 1 run;
27.3;1;Short to Holden, 1 run;
27.2;1;Short to Franklin, 1 run;
27.1;1;Short to Holden, 1 run;
26.6;?;Stanlake to Franklin, no run;
26.5;?;Stanlake to Franklin, no run;
26.4;?;Stanlake to Franklin, no run;
26.3;?;Stanlake to Franklin, no run;
26.3;1w;Stanlake to Franklin, 1 wide;
26.2;?;Stanlake to Franklin, no run;
26.1;2;Stanlake to Franklin, 2 runs;
25.6;1;Agar to Franklin, 1 run;
25.5;?;Agar to Franklin, no run;
25.4;?;Agar to Franklin, no run;
25.3;4;Agar to Franklin, FOUR runs;
25.2;1;Agar to Holden, 1 run;
25.1;1;Agar to Franklin, 1 run;
24.6;?;Short to Holden, no run;
24.5;1;Short to Franklin, 1 run;
24.4;1;Short to Holden, 1 run;
24.3;?;Short to Holden, no run;
24.2;1;Short to Franklin, 1 run;
24.1;W;Short to Cartwright, OUT;Hilton Cartwright c Head b Short 31 (47m 44b 5x4 0x6) SR: 70.45;
23.6;1;Agar to Cartwright, 1 run;
23.5;?;Agar to Cartwright, no run;
23.4;?;Agar to Cartwright, no run;
23.3;1;Agar to Holden, 1 run;
23.2;1;Agar to Cartwright, 1 run;
23.1;?;Agar to Cartwright, no run;
22.6;4;Neser to Holden, FOUR runs;
22.5;4;Neser to Holden, FOUR runs;
22.4;1;Neser to Cartwright, 1 run;
22.3;?;Neser to Cartwright, no run;
22.2;?;Neser to Cartwright, no run;
22.1;4;Neser to Cartwright, FOUR runs;
