Data
Match State: Innings Break
5.6;?;Christian to Taylor, no run;
5.5;1;Christian to Williamson, 1 run;
5.4;1;Christian to Taylor, 1 run;
5.3;4;Christian to Taylor, FOUR runs;
5.2;?;Christian to Taylor, no run;
5.1;1;Christian to Williamson, 1 run;
4.6;1;Cummins to Williamson, 1 run;
4.5;?;Cummins to Williamson, no run;
4.4;?;Cummins to Williamson, no run;
4.3;?;Cummins to Williamson, no run;
4.2;2;Cummins to Williamson, 2 runs;
4.1;?;Cummins to Williamson, no run;
3.6;?;McKay to Taylor, no run;
3.5;?;McKay to Taylor, no run;
3.4;2;McKay to Taylor, 2 runs;
3.4;1w;McKay to Taylor, 1 wide;
3.3;?;McKay to Taylor, no run;
3.2;?;McKay to Taylor, no run;
3.1;?;McKay to Taylor, no run;
2.6;?;Cummins to Williamson, no run;
2.5;?;Cummins to Williamson, no run;
2.4;?;Cummins to Williamson, no run;
2.3;1;Cummins to Taylor, 1 run;
2.2;?;Cummins to Taylor, no run;
2.1;W;Cummins to Watling, OUT;BJ Watling c ?Wade b Cummins 0 (1b 0x4 0x6) SR: 0;
1.6;W;McKay to Guptill, OUT;Martin Guptill c Hussey b McKay 5 (5b 1x4 0x6) SR: 100;
1.6;1w;McKay to Guptill, 1 wide;
1.5;?;McKay to Guptill, no run;
1.4;4;McKay to Guptill, FOUR runs;
1.3;?;McKay to Guptill, no run;
1.2;1;McKay to Williamson, 1 run;
1.1;1;McKay to Guptill, 1 run;
0.6;?;Watson to Williamson, no run;
0.5;?;Watson to Williamson, no run;
0.5;1w;Watson to Williamson, 1 wide;
0.4;?;Watson to Williamson, no run;
0.3;?;Watson to Williamson, no run;
0.2;W;Watson to Nicol, OUT;Rob Nicol lbw b Watson 0 (2b 0x4 0x6) SR: 0;
0.1;?;Watson to Nicol, no run;

 Innings Start
Colombo (NCC), Sep 15 2012, Australia tour of Sri Lanka
139/6
83
Player of the match is 
