Data
Match State: Innings Break
57.2;W;O'Keefe to Fernando, OUT;Dilhara Fernando c Smith b O'Keefe 1 (7b 0x4 0x6) SR: 14.28;
121.4;?;Gamage to O'Keefe, no run;
121.3;1;Gamage to Bird, 1 run;
121.2;1;Gamage to O'Keefe, 1 run;
121.1;1;Gamage to Bird, 1 run;
120.6;1;de Silva to Bird, 1 run;
120.5;?;de Silva to Bird, no run;
120.4;?;de Silva to Bird, no run;
120.3;?;de Silva to Bird, no run;
120.2;?;de Silva to Bird, no run;
120.1;?;de Silva to Bird, no run;
119.6;?;Jayasuriya to O'Keefe, no run;
119.5;?;Jayasuriya to O'Keefe, no run;
119.4;?;Jayasuriya to O'Keefe, no run;
119.3;4;Jayasuriya to O'Keefe, FOUR runs;
119.2;?;Jayasuriya to O'Keefe, no run;
119.1;?;Jayasuriya to O'Keefe, no run;
118.6;2;de Silva to Bird, 2 runs;
118.5;?;de Silva to Bird, no run;
118.4;?;de Silva to Bird, no run;
118.3;?;de Silva to Bird, no run;
118.2;?;de Silva to Bird, no run;
118.1;1;de Silva to O'Keefe, 1 run;
117.6;?;Jayasuriya to Bird, no run;
117.5;?;Jayasuriya to Bird, no run;
117.4;?;Jayasuriya to Bird, no run;
117.3;4;Jayasuriya to Bird, FOUR runs;
117.2;W;Jayasuriya to Lyon, OUT;Nathan Lyon b Jayasuriya 8 (14b 1x4 0x6) SR: 57.14;
117.1;1;Jayasuriya to O'Keefe, 1 run;
116.6;1;de Silva to O'Keefe, 1 run;
116.5;?;de Silva to O'Keefe, no run;
116.4;?;de Silva to O'Keefe, no run;
116.3;?;de Silva to O'Keefe, no run;
116.2;?;de Silva to O'Keefe, no run;
116.1;?;de Silva to O'Keefe, no run;
115.6;?;Jayasuriya to Lyon, no run;
115.5;3;Jayasuriya to O'Keefe, 3 runs;
115.4;?;Jayasuriya to O'Keefe, no run;
115.3;?;Jayasuriya to O'Keefe, no run;
115.2;1;Jayasuriya to Lyon, 1 run;
115.1;?;Jayasuriya to Lyon, no run;
114.6;?;de Silva to O'Keefe, no run;
114.5;?;de Silva to O'Keefe, no run;
114.4;?;de Silva to O'Keefe, no run;
114.3;1;de Silva to Lyon, 1 run;
114.2;?;de Silva to Lyon, no run;
114.1;1;de Silva to O'Keefe, 1 run;
113.6;?;Jayasuriya to Lyon, no run;
113.5;1;Jayasuriya to O'Keefe, 1 run;
113.5;2nb;Jayasuriya to Lyon, (no ball) 1 run;
113.4;4;Jayasuriya to Lyon, FOUR runs;
113.3;?;Jayasuriya to Lyon, no run;
113.2;?;Jayasuriya to Lyon, no run;
113.1;?;Jayasuriya to Lyon, no run;
112.6;?;Gunaratne to O'Keefe, no run;
112.5;4;Gunaratne to O'Keefe, FOUR runs;
112.4;?;Gunaratne to O'Keefe, no run;
112.3;2;Gunaratne to O'Keefe, 2 runs;
112.2;1;Gunaratne to Lyon, 1 run;
112.1;?;Gunaratne to Lyon, no run;
111.6;?;Jayasuriya to O'Keefe, no run;
111.5;?;Jayasuriya to O'Keefe, no run;
111.4;?;Jayasuriya to O'Keefe, no run;
111.3;W;Jayasuriya to Starc, OUT;Mitchell Starc c & b Jayasuriya 45 (48b 3x4 3x6) SR: 93.75;
111.2;?;Jayasuriya to Starc, no run;
111.1;1;Jayasuriya to O'Keefe, 1 run;
110.6;1;Gunaratne to O'Keefe, 1 run;
110.5;2;Gunaratne to O'Keefe, 2 runs;
110.4;?;Gunaratne to O'Keefe, no run;
110.3;?;Gunaratne to O'Keefe, no run;
110.2;1;Gunaratne to Starc, 1 run;
110.1;1;Gunaratne to O'Keefe, 1 run;
109.6;2;Jayasuriya to Starc, 2 runs;
109.5;6;Jayasuriya to Starc, SIX runs;
109.4;?;Jayasuriya to Starc, no run;
109.3;1;Jayasuriya to O'Keefe, 1 run;
109.2;?;Jayasuriya to O'Keefe, no run;
109.1;1;Jayasuriya to Starc, 1 run;
108.6;?;Gunaratne to O'Keefe, no run;
108.5;?;Gunaratne to O'Keefe, no run;
108.4;?;Gunaratne to O'Keefe, no run;
108.3;?;Gunaratne to O'Keefe, no run;
108.2;1;Gunaratne to Starc, 1 run;
108.1;6;Gunaratne to Starc, SIX runs;
107.6;?;de Silva to O'Keefe, no run;
107.5;1;de Silva to Starc, 1 run;
107.4;6;de Silva to Starc, SIX runs;
107.3;?;de Silva to Starc, no run;
107.2;?;de Silva to Starc, no run;
107.1;?;de Silva to Starc, no run;
106.6;1;Gunaratne to Starc, 1 run;
106.5;?;Gunaratne to Starc, no run;
106.4;?;Gunaratne to Starc, no run;
106.3;1lb;Gunaratne to O'Keefe, 1 leg bye;
106.2;?;Gunaratne to O'Keefe, no run;
106.1;?;Gunaratne to O'Keefe, no run;
105.6;1;Jayasuriya to O'Keefe, 1 run;
105.5;?;Jayasuriya to O'Keefe, no run;
105.4;1;Jayasuriya to Starc, 1 run;
105.3;1;Jayasuriya to O'Keefe, 1 run;
105.2;?;Jayasuriya to O'Keefe, no run;
