Data
7.2;?;Wiese to Finch, no run;
7.1;?;Wiese to Finch, no run;
6.6;?;Archer to Short, no run;
6.5;1;Archer to Finch, 1 run;
6.4;?;Archer to Finch, no run;
6.3;4;Archer to Finch, FOUR runs;
6.2;?;Archer to Finch, no run;
6.2;1w;Archer to Finch, 1 wide;
6.1;?;Archer to Finch, no run;
5.6;1;Jordan to Finch, 1 run;
5.5;?;Jordan to Finch, no run;
5.4;?;Jordan to Finch, no run;
5.3;4;Jordan to Finch, FOUR runs;
5.2;2;Jordan to Finch, 2 runs;
5.1;4;Jordan to Finch, FOUR runs;
4.6;?;Archer to Short, no run;
4.5;1;Archer to Finch, 1 run;
4.4;?;Archer to Finch, no run;
4.3;1;Archer to Short, 1 run;
4.2;?;Archer to Short, no run;
4.1;1;Archer to Finch, 1 run;
3.6;?;Jordan to Short, no run;
3.5;?;Jordan to Short, no run;
3.4;4;Jordan to Short, FOUR runs;
3.3;?;Jordan to Short, no run;
3.2;?;Jordan to Short, no run;
3.1;?;Jordan to Short, no run;
2.6;?;Archer to Finch, no run;
2.5;4;Archer to Finch, FOUR runs;
2.4;1;Archer to Short, 1 run;
2.3;?;Archer to Short, no run;
2.2;?;Archer to Short, no run;
2.1;?;Archer to Short, no run;
2.1;1w;Archer to Short, 1 wide;
1.6;?;Jordan to Finch, no run;
1.5;1;Jordan to Short, 1 run;
1.4;1;Jordan to Finch, 1 run;
1.3;?;Jordan to Finch, no run;
1.2;4;Jordan to Finch, FOUR runs;
1.1;4;Jordan to Finch, FOUR runs;
0.6;1;Archer to Finch, 1 run;
0.5;1;Archer to Short, 1 run;
0.4;?;Archer to Short, no run;
0.3;4;Archer to Short, FOUR runs;
0.2;1;Archer to Finch, 1 run;
0.2;1w;Archer to Finch, 1 wide;
0.1;?;Archer to Finch, no run;

 Innings Start
42.3;W;Jhye Richardson to Sakande, OUT;Abidine Sakande b JA Richardson 0 (4m 4b 0x4 0x6) SR: 0;
42.2;?;Jhye Richardson to Sakande, no run;
42.1;1;Jhye Richardson to Briggs, 1 run;
41.6;?;Tye to Sakande, no run;
41.5;?;Tye to Sakande, no run;
41.4;W;Tye to Archer, OUT;Jofra Archer b Tye 10 (20m 13b 1x4 0x6) SR: 76.92;
41.3;?;Tye to Archer, no run;
41.3;1w;Tye to Archer, 1 wide;
41.2;1;Tye to Briggs, 1 run;
41.1;?;Tye to Briggs, no run;
40.6;?;Jhye Richardson to Archer, no run;
40.5;4;Jhye Richardson to Archer, FOUR runs;
40.4;2;Jhye Richardson to Archer, 2 runs;
40.3;1;Jhye Richardson to Briggs, 1 run;
40.2;?;Jhye Richardson to Briggs, no run;
40.1;W;Jhye Richardson to Jordan, OUT;Chris Jordan run out (Stoinis) 5 (18m 12b 0x4 0x6) SR: 41.66;
39.6;?;Tye to Archer, no run;
39.5;1;Tye to Jordan, 1 run;
39.4;?;Tye to Jordan, no run;
39.3;?;Tye to Jordan, no run;
39.2;1;Tye to Archer, 1 run;
39.1;1;Tye to Jordan, 1 run;
38.6;1;Neser to Jordan, 1 run;
38.5;?;Neser to Jordan, no run;
38.4;1;Neser to Archer, 1 run;
38.3;1;Neser to Jordan, 1 run;
38.2;1;Neser to Archer, 1 run;
38.1;?;Neser to Archer, no run;
37.6;?;Agar to Jordan, no run;
37.5;1;Agar to Archer, 1 run;
37.4;?;Agar to Archer, no run;
37.3;?;Agar to Archer, no run;
37.2;W;Agar to Evans, OUT;Laurie Evans st ?Paine b Agar 57 (90m 63b 4x4 2x6) SR: 90.47;
37.1;4;Agar to Evans, FOUR runs;
36.6;1;Neser to Evans, 1 run;
36.5;4lb;Neser to Evans, 4 leg byes;
36.4;1;Neser to Jordan, 1 run;
36.3;?;Neser to Jordan, no run;
36.2;?;Neser to Jordan, no run;
