Data
Match State: Innings Break
7.2;1;Muirhead to McCullum, 1 run;
7.1;1;Muirhead to Guptill, 1 run;
6.6;1;Hogg to Guptill, 1 run;
6.5;1;Hogg to McCullum, 1 run;
6.4;1;Hogg to Guptill, 1 run;
6.3;1;Hogg to McCullum, 1 run;
6.2;1;Hogg to Guptill, 1 run;
6.1;4;Hogg to Guptill, FOUR runs;
5.6;4;Watson to McCullum, FOUR runs;
5.5;1;Watson to Guptill, 1 run;
5.4;1;Watson to McCullum, 1 run;
5.3;?;Watson to McCullum, no run;
5.2;1;Watson to Guptill, 1 run;
5.1;4;Watson to Guptill, FOUR runs;
4.6;1;Coulter-Nile to Guptill, 1 run;
4.5;?;Coulter-Nile to Guptill, no run;
4.5;1w;Coulter-Nile to Guptill, 1 wide;
4.4;1;Coulter-Nile to McCullum, 1 run;
4.3;4;Coulter-Nile to McCullum, FOUR runs;
4.2;4;Coulter-Nile to McCullum, FOUR runs;
4.1;W;Coulter-Nile to Williamson, OUT;Kane Williamson c ?Haddin b Coulter-Nile 17 (12b 2x4 1x6) SR: 141.66;
3.6;4;Christian to Guptill, FOUR runs;
3.5;6;Christian to Guptill, SIX runs;
3.4;1;Christian to Williamson, 1 run;
3.3;1;Christian to Guptill, 1 run;
3.2;4;Christian to Guptill, FOUR runs;
3.1;2;Christian to Guptill, 2 runs;
2.6;?;Watson to Williamson, no run;
2.5;4;Watson to Williamson, FOUR runs;
2.4;?;Watson to Williamson, no run;
2.3;1;Watson to Guptill, 1 run;
2.2;1;Watson to Williamson, 1 run;
2.1;6;Watson to Williamson, SIX runs;
1.6;?;Coulter-Nile to Guptill, no run;
1.5;1;Coulter-Nile to Williamson, 1 run;
1.4;4;Coulter-Nile to Williamson, FOUR runs;
1.3;?;Coulter-Nile to Williamson, no run;
1.2;?;Coulter-Nile to Williamson, no run;
1.1;?;Coulter-Nile to Williamson, no run;
0.6;2;Starc to Guptill, 2 runs;
0.5;?;Starc to Guptill, no run;
0.4;?;Starc to Guptill, no run;
0.3;?;Starc to Guptill, no run;
0.2;?;Starc to Guptill, no run;
0.1;?;Starc to Guptill, no run;

 Innings Start
(D/N), Fatullah, Mar 19 2014, New Zealand tour of Bangladesh [March 2014]
200/7
197/9
Player of the match is 
