Data
In the USA, you can watch the Australia vs India game live on ESPN+ in English and in Hindi.
6.1;1;Zampa to Rohit Sharma, 1 run;
5.6;1;Kane Richardson to Rohit Sharma, 1 run;
5.5;1;Kane Richardson to Rahul, 1 run;
5.4;?;Kane Richardson to Rahul, no run;
5.3;?;Kane Richardson to Rahul, no run;
5.2;4;Kane Richardson to Rahul, FOUR runs;
5.1;?;Kane Richardson to Rahul, no run;
4.6;1;Zampa to Rahul, 1 run;
4.5;?;Zampa to Rahul, no run;
4.4;1;Zampa to Rohit Sharma, 1 run;
4.3;4;Zampa to Rohit Sharma, FOUR runs;
4.2;?;Zampa to Rohit Sharma, no run;
4.1;1;Zampa to Rahul, 1 run;
3.6;?;Cummins to Rohit Sharma, no run;
3.5;?;Cummins to Rohit Sharma, no run;
3.4;?;Cummins to Rohit Sharma, no run;
3.3;?;Cummins to Rohit Sharma, no run;
3.2;4;Cummins to Rohit Sharma, FOUR runs;
3.1;?;Cummins to Rohit Sharma, no run;
2.6;1;Agar to Rohit Sharma, 1 run;
2.5;?;Agar to Rohit Sharma, no run;
2.4;?;Agar to Rohit Sharma, no run;
2.3;1;Agar to Rahul, 1 run;
2.2;?;Agar to Rahul, no run;
2.1;6;Agar to Rahul, SIX runs;
1.6;4;Cummins to Rohit Sharma, FOUR runs;
1.5;4;Cummins to Rohit Sharma, FOUR runs;
1.4;?;Cummins to Rohit Sharma, no run;
1.3;1;Cummins to Rahul, 1 run;
1.2;1;Cummins to Rohit Sharma, 1 run;
1.1;?;Cummins to Rohit Sharma, no run;
0.6;4;Starc to Rahul, FOUR runs;
0.5;?;Starc to Rahul, no run;
0.4;?;Starc to Rahul, no run;
0.3;?;Starc to Rahul, no run;
0.2;2;Starc to Rahul, 2 runs;
0.2;1w;Starc to Rahul, 1 wide;
0.1;?;Starc to Rahul, no run;

RG Sharma retired hurt 60 (41b 5x4 3x6)
 Innings Start
ICCA Dubai, Oct 20 2021, ICC Men's T20 World Cup Warm-up Matches
152/5
153/2
Player of the match is 
