Data
124.4;W;Ball to Harris, OUT;Ryan Harris c ?Billings b Ball 9 (6m 5b 2x4 0x6) SR: 180;
91.4;?;Thomas to Smith, no run;
91.3;?;Thomas to Smith, no run;
91.2;?;Thomas to Smith, no run;
91.1;?;Thomas to Smith, no run;
90.6;1;Ball to Smith, 1 run;
90.5;?;Ball to Smith, no run;
90.4;?;Ball to Smith, no run;
90.3;?;Ball to Smith, no run;
90.2;?;Ball to Smith, no run;
90.1;2;Ball to Smith, 2 runs;
89.6;?;Claydon to Watson, no run;
89.5;4;Claydon to Watson, FOUR runs;
89.4;?;Claydon to Watson, no run;
89.3;1;Claydon to Smith, 1 run;
89.2;?;Claydon to Smith, no run;
89.1;?;Claydon to Smith, no run;
88.6;?;Hunn to Watson, no run;
88.5;?;Hunn to Watson, no run;
88.4;1;Hunn to Smith, 1 run;
88.3;?;Hunn to Smith, no run;
88.2;?;Hunn to Smith, no run;
88.1;?;Hunn to Smith, no run;
87.6;4;Claydon to Watson, FOUR runs;
87.5;?;Claydon to Watson, no run;
87.4;?;Claydon to Watson, no run;
87.3;?;Claydon to Watson, no run;
87.2;?;Claydon to Watson, no run;
87.1;1;Claydon to Smith, 1 run;
86.6;W;Hunn to Clarke, OUT;Michael Clarke c ?Billings b Hunn 56 (96m 73b 8x4 0x6) SR: 76.71;
86.5;2;Hunn to Clarke, 2 runs;
86.4;1;Hunn to Smith, 1 run;
86.3;1lb;Hunn to Clarke, 1 leg bye;
86.2;1;Hunn to Smith, 1 run;
86.1;1;Hunn to Clarke, 1 run;
85.6;?;Claydon to Smith, no run;
85.5;1;Claydon to Clarke, 1 run;
85.4;4;Claydon to Clarke, FOUR runs;
85.3;?;Claydon to Clarke, no run;
85.3;1nb;Claydon to Clarke, (no ball);
85.2;1;Claydon to Smith, 1 run;
85.1;?;Claydon to Smith, no run;
84.6;1;Hunn to Smith, 1 run;
84.5;1;Hunn to Clarke, 1 run;
84.4;3;Hunn to Smith, 3 runs;
84.3;?;Hunn to Smith, no run;
84.2;?;Hunn to Smith, no run;
84.1;2;Hunn to Smith, 2 runs;
83.6;?;Claydon to Clarke, no run;
83.5;4;Claydon to Clarke, FOUR runs;
83.4;4;Claydon to Clarke, FOUR runs;
83.3;?;Claydon to Clarke, no run;
83.2;2;Claydon to Clarke, 2 runs;
83.1;?;Claydon to Clarke, no run;
82.6;?;Hunn to Smith, no run;
82.5;2;Hunn to Smith, 2 runs;
82.4;?;Hunn to Smith, no run;
82.3;?;Hunn to Smith, no run;
82.2;4;Hunn to Smith, FOUR runs;
82.1;?;Hunn to Smith, no run;
81.6;1;Ball to Smith, 1 run;
81.5;1;Ball to Clarke, 1 run;
81.4;4;Ball to Clarke, FOUR runs;
81.3;1;Ball to Smith, 1 run;
81.2;?;Ball to Smith, no run;
81.1;?;Ball to Smith, no run;
81.1;1w;Ball to Smith, 1 wide;
80.6;?;Thomas to Clarke, no run;
80.5;?;Thomas to Clarke, no run;
80.4;?;Thomas to Clarke, no run;
80.3;?;Thomas to Clarke, no run;
80.2;1;Thomas to Smith, 1 run;
80.1;?;Thomas to Smith, no run;
79.6;?;Ball to Clarke, no run;
79.5;4;Ball to Clarke, FOUR runs;
79.4;2;Ball to Clarke, 2 runs;
79.3;?;Ball to Clarke, no run;
79.2;?;Ball to Clarke, no run;
79.1;?;Ball to Clarke, no run;
78.6;?;Thomas to Smith, no run;
78.5;?;Thomas to Smith, no run;
78.4;?;Thomas to Smith, no run;
78.3;?;Thomas to Smith, no run;
78.2;2;Thomas to Smith, 2 runs;
78.1;?;Thomas to Smith, no run;

 Innings Start
80.2;W;Fawad to Thomas, OUT;Ivan Thomas c Johnson b Fawad Ahmed 13 (24m 20b 2x4 0x6) SR: 65;
80.1;4;Fawad to Thomas, FOUR runs;
79.6;?;Smith to Hunn, no run;
79.5;1;Smith to Thomas, 1 run;
79.4;1b;Smith to Hunn, 1 bye;
79.3;?;Smith to Hunn, no run;
79.2;?;Smith to Hunn, no run;
79.1;1;Smith to Thomas, 1 run;
78.6;1;Fawad to Thomas, 1 run;
