Data
49.6;W;Topley to Cummins, OUT;Pat Cummins c Cook b Topley 2 (3m 3b 0x4 0x6) SR: 66.66;
32.1;?;Lee to Mills, no run;
31.6;1;Watson to Mills, 1 run;
31.5;1;Watson to Phillips, 1 run;
31.4;?;Watson to Phillips, no run;
31.3;?;Watson to Phillips, no run;
31.2;?;Watson to Phillips, no run;
31.1;?;Watson to Phillips, no run;
30.6;?;Lee to Mills, no run;
30.5;?;Lee to Mills, no run;
30.4;?;Lee to Mills, no run;
30.3;?;Lee to Mills, no run;
30.3;1nb;Lee to Mills, (no ball);
30.2;?;Lee to Mills, no run;
30.1;1;Lee to Phillips, 1 run;
29.6;?;Doherty to Mills, no run;
29.5;?;Doherty to Mills, no run;
29.4;W;Doherty to Topley, OUT;Reece Topley b Doherty 2 (13m 13b 0x4 0x6) SR: 15.38;
29.3;?;Doherty to Topley, no run;
29.2;?;Doherty to Topley, no run;
29.1;?;Doherty to Topley, no run;
28.6;1;Cummins to Topley, 1 run;
28.5;?;Cummins to Topley, no run;
28.4;1;Cummins to Phillips, 1 run;
28.3;?;Cummins to Phillips, no run;
28.2;?;Cummins to Phillips, no run;
28.1;4;Cummins to Phillips, FOUR runs;
27.6;?;Doherty to Topley, no run;
27.5;?;Doherty to Topley, no run;
27.4;?;Doherty to Topley, no run;
27.3;1;Doherty to Phillips, 1 run;
27.2;1;Doherty to Topley, 1 run;
27.1;1lb;Doherty to Phillips, 1 leg bye;
26.6;?;Cummins to Topley, no run;
26.5;?;Cummins to Topley, no run;
26.4;?;Cummins to Topley, no run;
26.3;W;Cummins to Foster, OUT;James Foster c Smith b Cummins 41 (55m 36b 6x4 0x6) SR: 113.88;
26.2;1;Cummins to Phillips, 1 run;
26.1;?;Cummins to Phillips, no run;
25.6;2;Doherty to Foster, 2 runs;
25.5;1;Doherty to Phillips, 1 run;
25.4;?;Doherty to Phillips, no run;
25.3;W;Doherty to Napier, OUT;Graham Napier lbw b Doherty 8 (7m 7b 1x4 0x6) SR: 114.28;
25.2;4;Doherty to Napier, FOUR runs;
25.1;1;Doherty to Foster, 1 run;
24.6;2;Cummins to Napier, 2 runs;
24.5;?;Cummins to Napier, no run;
24.4;?;Cummins to Napier, no run;
24.3;?;Cummins to Napier, no run;
24.2;2;Cummins to Napier, 2 runs;
24.1;W;Cummins to Smith, OUT;Greg Smith b Cummins 2 (12m 11b 0x4 0x6) SR: 18.18;
23.6;?;Doherty to Foster, no run;
23.5;1;Doherty to Smith, 1 run;
23.4;?;Doherty to Smith, no run;
23.3;?;Doherty to Smith, no run;
23.2;?;Doherty to Smith, no run;
23.1;?;Doherty to Smith, no run;
22.6;?;Watson to Foster, no run;
22.5;?;Watson to Foster, no run;
22.4;?;Watson to Foster, no run;
