Data
8.2;W;Telemachus to Katich, OUT;Simon Katich c Smith b Telemachus 39 (42m 22b 6x4 1x6) SR: 177.27;
8.1;4;Telemachus to Katich, FOUR runs;
7.6;2;JJ van der Wath to Clarke, 2 runs;
7.5;1;JJ van der Wath to Katich, 1 run;
7.4;1;JJ van der Wath to Clarke, 1 run;
7.3;6;JJ van der Wath to Clarke, SIX runs;
7.2;1;JJ van der Wath to Katich, 1 run;
7.1;4;JJ van der Wath to Katich, FOUR runs;
6.6;?;Telemachus to Clarke, no run;
6.5;?;Telemachus to Clarke, no run;
6.4;1;Telemachus to Katich, 1 run;
6.3;3;Telemachus to Clarke, 3 runs;
6.3;1w;Telemachus to Clarke, 1 wide;
6.2;1;Telemachus to Katich, 1 run;
6.1;?;Telemachus to Katich, no run;
5.6;?;JJ van der Wath to Clarke, no run;
5.5;?;JJ van der Wath to Clarke, no run;
5.4;?;JJ van der Wath to Clarke, no run;
5.3;W;JJ van der Wath to Martyn, OUT;Damien Martyn c ?de Villiers b van der Wath 17 (11m 9b 3x4 0x6) SR: 188.88;
5.2;4;JJ van der Wath to Martyn, FOUR runs;
5.1;2;JJ van der Wath to Martyn, 2 runs;
4.6;1;Telemachus to Martyn, 1 run;
4.5;4;Telemachus to Martyn, 4 runs;
4.4;4;Telemachus to Martyn, FOUR runs;
4.3;1;Telemachus to Katich, 1 run;
4.3;1w;Telemachus to Katich, 1 wide;
4.2;1;Telemachus to Martyn, 1 run;
4.1;?;Telemachus to Martyn, no run;
3.6;?;Hall to Katich, no run;
3.5;?;Hall to Katich, no run;
3.4;1;Hall to Martyn, 1 run;
3.3;W;Hall to Ponting, OUT;Ricky Ponting lbw b Hall 6 (11m 8b 1x4 0x6) SR: 75;
3.2;?;Hall to Ponting, no run;
3.1;4;Hall to Ponting, FOUR runs;
2.6;1;Ntini to Ponting, 1 run;
2.5;?;Ntini to Ponting, no run;
2.4;1;Ntini to Katich, 1 run;
2.3;4;Ntini to Katich, FOUR runs;
2.2;6;Ntini to Katich, SIX runs;
2.1;?;Ntini to Katich, no run;
1.6;1;Hall to Katich, 1 run;
1.5;?;Hall to Katich, no run;
1.4;1;Hall to Ponting, 1 run;
1.3;?;Hall to Ponting, no run;
1.2;?;Hall to Ponting, no run;
