Data
Match State: Innings Break
19.6;W;Kane Richardson to Neesham, OUT;James Neesham c Smith b Richardson 31 (18b 3x4 2x6) SR: 172.22;
7.2;1;Santner to Smith, 1 run;
7.1;2;Santner to Smith, 2 runs;
6.6;1;Sodhi to Smith, 1 run;
6.5;1;Sodhi to Finch, 1 run;
6.4;1;Sodhi to Smith, 1 run;
6.3;1;Sodhi to Finch, 1 run;
6.2;3;Sodhi to Smith, 3 runs;
6.1;1;Sodhi to Finch, 1 run;
5.6;?;Jamieson to Smith, no run;
5.5;?;Jamieson to Smith, no run;
5.4;1;Jamieson to Finch, 1 run;
5.3;2;Jamieson to Finch, 2 runs;
5.2;1;Jamieson to Smith, 1 run;
5.1;4;Jamieson to Smith, FOUR runs;
4.6;?;Boult to Finch, no run;
4.5;?;Boult to Finch, no run;
4.4;?;Boult to Finch, no run;
4.3;1;Boult to Smith, 1 run;
4.2;?;Boult to Smith, no run;
4.1;W;Boult to Marsh, OUT;Mitchell Marsh c Sodhi b Boult 24 (15b 3x4 1x6) SR: 160;
4.1;1w;Boult to Marsh, 1 wide;
3.6;4;Southee to Finch, FOUR runs;
3.5;?;Southee to Finch, no run;
3.4;1;Southee to Marsh, 1 run;
3.3;?;Southee to Marsh, no run;
3.2;?;Southee to Marsh, no run;
3.1;4;Southee to Marsh, FOUR runs;
2.6;?;Santner to Finch, no run;
2.5;?;Santner to Finch, no run;
2.4;1;Santner to Marsh, 1 run;
2.3;?;Santner to Marsh, no run;
2.2;4;Santner to Marsh, FOUR runs;
2.1;1;Santner to Finch, 1 run;
1.6;2b;Jamieson to Marsh, 2 byes;
1.5;1;Jamieson to Finch, 1 run;
1.4;6;Jamieson to Finch, SIX runs;
1.3;?;Jamieson to Finch, no run;
1.2;1;Jamieson to Marsh, 1 run;
1.1;2;Jamieson to Marsh, 2 runs;
0.6;?;Southee to Finch, no run;
0.5;1;Southee to Marsh, 1 run;
0.4;?;Southee to Marsh, no run;
0.3;4;Southee to Marsh, FOUR runs;
0.3;1w;Southee to Marsh, 1 wide;
0.2;6;Southee to Marsh, SIX runs;
0.1;W;Southee to Warner, OUT;David Warner c Guptill b Southee 0 (1b 0x4 0x6) SR: 0;

Match State: Drinks
 Innings Start
(N), Tolerance Oval, Oct 18 2021, ICC Men's T20 World Cup Warm-up Matches
158/7
159/7
Player of the match is 
