Data
54.5;?;Lyon to Zaib, no run;
54.4;1;Lyon to Coetzer, 1 run;
54.3;1;Lyon to Zaib, 1 run;
54.2;?;Lyon to Zaib, no run;
54.1;?;Lyon to Zaib, no run;
53.6;?;Marsh to Coetzer, no run;
53.5;1;Marsh to Zaib, 1 run;
53.4;?;Marsh to Zaib, no run;
53.3;?;Marsh to Zaib, no run;
53.2;1;Marsh to Coetzer, 1 run;
53.1;1;Marsh to Zaib, 1 run;
52.6;?;Lyon to Coetzer, no run;
52.5;?;Lyon to Coetzer, no run;
52.4;2;Lyon to Coetzer, 2 runs;
52.3;?;Lyon to Coetzer, no run;
52.2;?;Lyon to Coetzer, no run;
52.1;?;Lyon to Coetzer, no run;
51.6;W;Marsh to Cobb, OUT;Josh Cobb c Voges b Marsh 0 (2m 1b 0x4 0x6) SR: 0;
51.5;W;Marsh to Keogh, OUT;Rob Keogh b Marsh 17 (78m 60b 2x4 0x6) SR: 28.33;
51.4;1;Marsh to Coetzer, 1 run;
51.3;1;Marsh to Keogh, 1 run;
51.2;?;Marsh to Keogh, no run;
51.1;?;Marsh to Keogh, no run;
50.6;?;Lyon to Coetzer, no run;
50.5;?;Lyon to Coetzer, no run;
50.4;?;Lyon to Coetzer, no run;
50.3;?;Lyon to Coetzer, no run;
50.2;4;Lyon to Coetzer, FOUR runs;
50.1;?;Lyon to Coetzer, no run;
49.6;?;Marsh to Keogh, no run;
49.5;?;Marsh to Keogh, no run;
49.4;?;Marsh to Keogh, no run;
49.3;2;Marsh to Keogh, 2 runs;
49.2;?;Marsh to Keogh, no run;
49.1;?;Marsh to Keogh, no run;
48.6;?;Siddle to Coetzer, no run;
48.5;1;Siddle to Keogh, 1 run;
48.4;?;Siddle to Keogh, no run;
48.3;?;Siddle to Keogh, no run;
48.2;?;Siddle to Keogh, no run;
48.1;4;Siddle to Keogh, FOUR runs;
47.6;?;Marsh to Coetzer, no run;
47.5;?;Marsh to Coetzer, no run;
47.4;1;Marsh to Keogh, 1 run;
47.3;?;Marsh to Keogh, no run;
47.2;?;Marsh to Keogh, no run;
47.1;?;Marsh to Keogh, no run;
46.6;?;Siddle to Coetzer, no run;
46.5;?;Siddle to Coetzer, no run;
46.4;?;Siddle to Coetzer, no run;
46.3;?;Siddle to Coetzer, no run;
46.2;?;Siddle to Coetzer, no run;
46.1;?;Siddle to Coetzer, no run;
45.6;1;Fawad to Coetzer, 1 run;
45.5;2;Fawad to Coetzer, 2 runs;
45.4;4;Fawad to Coetzer, FOUR runs;
45.3;?;Fawad to Coetzer, no run;
45.2;?;Fawad to Coetzer, no run;
45.1;?;Fawad to Coetzer, no run;
44.6;?;Siddle to Keogh, no run;
44.5;?;Siddle to Keogh, no run;
44.4;1;Siddle to Coetzer, 1 run;
44.3;?;Siddle to Coetzer, no run;
44.2;?;Siddle to Coetzer, no run;
44.1;?;Siddle to Coetzer, no run;

 Innings Start
88.6;6;Zaib to Cummins, SIX runs;
88.5;?;Zaib to Cummins, no run;
88.4;4;Zaib to Cummins, FOUR runs;
88.3;2;Zaib to Cummins, 2 runs;
88.2;?;Zaib to Cummins, no run;
88.1;?;Zaib to Cummins, no run;
87.6;?;Keogh to Fawad, no run;
87.5;?;Keogh to Fawad, no run;
87.4;?;Keogh to Fawad, no run;
87.3;?;Keogh to Fawad, no run;
87.2;1;Keogh to Cummins, 1 run;
87.1;2;Keogh to Cummins, 2 runs;
86.6;?;Zaib to Fawad, no run;
86.5;?;Zaib to Fawad, no run;
86.4;?;Zaib to Fawad, no run;
86.3;?;Zaib to Fawad, no run;
86.2;?;Zaib to Fawad, no run;
86.1;1;Zaib to Cummins, 1 run;
85.6;?;Keogh to Fawad, no run;
85.5;?;Keogh to Fawad, no run;
85.4;?;Keogh to Fawad, no run;
85.3;?;Keogh to Fawad, no run;
85.2;?;Keogh to Fawad, no run;
85.1;?;Keogh to Fawad, no run;
84.6;4;Zaib to Cummins, FOUR runs;
84.5;?;Zaib to Cummins, no run;
84.4;4;Zaib to Cummins, FOUR runs;
84.3;?;Zaib to Cummins, no run;
84.2;?;Zaib to Cummins, no run;
84.1;?;Zaib to Cummins, no run;
83.6;4;Keogh to Fawad, FOUR runs;
83.5;?;Keogh to Fawad, no run;
83.4;?;Keogh to Fawad, no run;
83.3;?;Keogh to Fawad, no run;
83.2;?;Keogh to Fawad, no run;
83.1;?;Keogh to Fawad, no run;
82.6;?;Zaib to Cummins, no run;
82.5;?;Zaib to Cummins, no run;
82.4;?;Zaib to Cummins, no run;
82.3;?;Zaib to Cummins, no run;
82.2;?;Zaib to Cummins, no run;
82.1;4;Zaib to Cummins, FOUR runs;
81.6;?;Keogh to Fawad, no run;
81.5;?;Keogh to Fawad, no run;
81.4;?;Keogh to Fawad, no run;
81.3;1;Keogh to Cummins, 1 run;
81.2;?;Keogh to Cummins, no run;
81.1;?;Keogh to Cummins, no run;
80.6;?;Zaib to Fawad, no run;
80.5;1;Zaib to Cummins, 1 run;
80.4;?;Zaib to Cummins, no run;
80.3;?;Zaib to Cummins, no run;
80.2;?;Zaib to Cummins, no run;
80.1;?;Zaib to Cummins, no run;
79.6;?;Keogh to Fawad, no run;
79.5;?;Keogh to Fawad, no run;
79.4;?;Keogh to Fawad, no run;
79.3;W;Keogh to Lyon, OUT;Nathan Lyon st ?Murphy b Keogh 41 (79m 62b 5x4 0x6) SR: 66.12;
79.2;?;Keogh to Lyon, no run;
79.1;1;Keogh to Cummins, 1 run;
78.6;3;Zaib to Cummins, 3 runs;
78.5;?;Zaib to Cummins, no run;
78.4;?;Zaib to Cummins, no run;
78.3;?;Zaib to Cummins, no run;
78.2;1;Zaib to Lyon, 1 run;
78.1;?;Zaib to Lyon, no run;
77.6;4;Keogh to Cummins, FOUR runs;
77.5;1;Keogh to Lyon, 1 run;
77.4;1;Keogh to Cummins, 1 run;
77.3;?;Keogh to Cummins, no run;
77.2;?;Keogh to Cummins, no run;
77.1;1;Keogh to Lyon, 1 run;
76.6;4;Zaib to Cummins, FOUR runs;
76.5;?;Zaib to Cummins, no run;
76.4;1;Zaib to Lyon, 1 run;
76.3;1;Zaib to Cummins, 1 run;
76.2;?;Zaib to Cummins, no run;
76.1;?;Zaib to Cummins, no run;
75.6;?;Keogh to Lyon, no run;
75.5;?;Keogh to Lyon, no run;
75.4;4;Keogh to Lyon, FOUR runs;
75.3;?;Keogh to Lyon, no run;
75.2;?;Keogh to Lyon, no run;
75.1;1;Keogh to Cummins, 1 run;
74.6;3;Zaib to Cummins, 3 runs;
74.5;?;Zaib to Cummins, no run;
74.4;?;Zaib to Cummins, no run;
74.3;4;Zaib to Cummins, FOUR runs;
74.2;1;Zaib to Lyon, 1 run;
74.1;4;Zaib to Lyon, FOUR runs;
73.6;?;Keogh to Cummins, no run;
73.5;?;Keogh to Cummins, no run;
73.4;1;Keogh to Lyon, 1 run;
73.3;?;Keogh to Lyon, no run;
73.2;?;Keogh to Lyon, no run;
73.1;?;Keogh to Lyon, no run;
72.6;1;Zaib to Lyon, 1 run;
72.5;?;Zaib to Lyon, no run;
72.4;?;Zaib to Lyon, no run;
72.3;?;Zaib to Lyon, no run;
72.2;?;Zaib to Lyon, no run;
72.1;?;Zaib to Lyon, no run;
71.6;?;Keogh to Cummins, no run;
71.5;?;Keogh to Cummins, no run;
71.4;?;Keogh to Cummins, no run;
71.3;?;Keogh to Cummins, no run;
71.2;?;Keogh to Cummins, no run;
71.1;?;Keogh to Cummins, no run;
70.6;1;Zaib to Cummins, 1 run;
70.5;1;Zaib to Lyon, 1 run;
70.4;1;Zaib to Cummins, 1 run;
70.3;?;Zaib to Cummins, no run;
70.2;?;Zaib to Cummins, no run;
70.1;?;Zaib to Cummins, no run;
69.6;?;Keogh to Lyon, no run;
69.5;4;Keogh to Lyon, FOUR runs;
69.4;4;Keogh to Lyon, FOUR runs;
69.3;?;Keogh to Lyon, no run;
69.2;1;Keogh to Cummins, 1 run;
69.1;?;Keogh to Cummins, no run;
68.6;?;Chambers to Lyon, no run;
68.5;?;Chambers to Lyon, no run;
68.4;2;Chambers to Lyon, 2 runs;
68.3;?;Chambers to Lyon, no run;
68.2;?;Chambers to Lyon, no run;
68.1;?;Chambers to Lyon, no run;
67.6;?;Keogh to Cummins, no run;
67.5;4;Keogh to Cummins, FOUR runs;
67.4;?;Keogh to Cummins, no run;
67.3;1;Keogh to Lyon, 1 run;
67.2;?;Keogh to Lyon, no run;
67.1;?;Keogh to Lyon, no run;
66.6;?;Chambers to Cummins, no run;
66.5;?;Chambers to Cummins, no run;
66.4;1;Chambers to Lyon, 1 run;
66.3;?;Chambers to Lyon, no run;
66.2;?;Chambers to Lyon, no run;
66.1;2;Chambers to Lyon, 2 runs;
65.6;4;Gleeson to Cummins, FOUR runs;
65.5;?;Gleeson to Cummins, no run;
65.4;?;Gleeson to Cummins, no run;
65.3;?;Gleeson to Cummins, no run;
65.2;4;Gleeson to Cummins, FOUR runs;
65.1;?;Gleeson to Cummins, no run;
64.6;1;Chambers to Cummins, 1 run;
64.5;?;Chambers to Cummins, no run;
64.4;?;Chambers to Cummins, no run;
64.4;5w;Chambers to Cummins, 5 wide;
64.3;4;Chambers to Cummins, FOUR runs;
64.2;1;Chambers to Lyon, 1 run;
64.1;4;Chambers to Lyon, FOUR runs;
63.6;?;Gleeson to Cummins, no run;
63.5;?;Gleeson to Cummins, no run;
63.4;?;Gleeson to Cummins, no run;
63.3;?;Gleeson to Cummins, no run;
63.2;4;Gleeson to Cummins, FOUR runs;
63.1;?;Gleeson to Cummins, no run;
62.6;1;Chambers to Cummins, 1 run;
62.5;?;Chambers to Cummins, no run;
62.4;?;Chambers to Cummins, no run;
62.3;1;Chambers to Lyon, 1 run;
62.2;?;Chambers to Lyon, no run;
62.1;?;Chambers to Lyon, no run;
61.6;?;Gleeson to Cummins, no run;
61.5;?;Gleeson to Cummins, no run;
61.4;?;Gleeson to Cummins, no run;
61.3;1;Gleeson to Lyon, 1 run;
61.2;?;Gleeson to Lyon, no run;
61.1;?;Gleeson to Lyon, no run;
60.6;?;Chambers to Cummins, no run;
60.5;4;Chambers to Cummins, FOUR runs;
60.4;3;Chambers to Lyon, 3 runs;
60.3;1;Chambers to Cummins, 1 run;
60.2;1;Chambers to Lyon, 1 run;
60.1;?;Chambers to Lyon, no run;
59.6;?;Gleeson to Cummins, no run;
59.5;?;Gleeson to Cummins, no run;
59.4;?;Gleeson to Cummins, no run;
59.3;?;Gleeson to Cummins, no run;
59.2;?;Gleeson to Cummins, no run;
59.1;?;Gleeson to Cummins, no run;
58.6;?;Crook to Lyon, no run;
58.5;?;Crook to Lyon, no run;
58.4;?;Crook to Lyon, no run;
58.3;?;Crook to Lyon, no run;
58.2;?;Crook to Lyon, no run;
58.1;?;Crook to Lyon, no run;
57.6;?;Gleeson to Cummins, no run;
57.5;?;Gleeson to Cummins, no run;
57.4;?;Gleeson to Cummins, no run;
57.3;?;Gleeson to Cummins, no run;
57.2;?;Gleeson to Cummins, no run;
57.1;?;Gleeson to Cummins, no run;
56.6;?;Crook to Lyon, no run;
56.5;?;Crook to Lyon, no run;
56.4;?;Crook to Lyon, no run;
56.3;W;Crook to Siddle, OUT;Peter Siddle c Sanderson b Crook 9 (31m 23b 1x4 0x6) SR: 39.13;
56.2;?;Crook to Siddle, no run;
56.1;?;Crook to Siddle, no run;
55.6;?;Gleeson to Cummins, no run;
55.5;?;Gleeson to Cummins, no run;
55.4;?;Gleeson to Cummins, no run;
55.3;1;Gleeson to Siddle, 1 run;
