Data
A highly competitive score by Australia, but given the pitch and going by past records, South Africa will fancy chasing this one. At one stage, with Clarke and Haddin going strong, it seemed as though a score of well above 350 was in the offing, but the spinners, as they did in the previous game, pulled it back for South Africa, with van der Merwe and the surprise package Duminy taking five wickets between them to curtail Australia in the middle stages.
Ferguson proved an important wicket as he had brought the momentum back with the visitors with a fluent 41 and the openers had departed. Ponting got a start but never looked dominant; and Hussey, along with Hauritz, dealt some useful blows in the end to take his team past 300. South Africa, though, have the wherewithal to chase this down, but with the pitch getting a little slow, their task may not be all that easy. Join us in about 30 minutes for the run-chase.
38.3;W;Duminy to Hussey, 1 wide, OUT a leg-side stumping, tossed up on middle and leg, drawing David Hussey out of the crease as he tries to work that away behind square, the ball spins down, the batsman misses and Boucher clips the bails to find him well short;David Hussey st ?Boucher b Duminy 3 (7m 4b 0x4 0x6) SR: 75;
38.2;1;Duminy to Hussey, 1 run flighted on middle, looks to paddle it fine, gets the top edge onto his body and the ball lobs up in front of short fine;
38.1;?;Duminy to Hussey, no run quicker one bowled on the off, pushed to cover;
37.6;2;Morkel to Hussey, 2 runs short on middle, pulled away wide of deep midwicket for a couple;
37.5;?;Morkel to Hussey, no run a touch fuller and much straighter, on middle and off, defended in the direction of cover;
37.4;1;Morkel to Hussey, 1 run shortish on the off stump, chopped down to third man;
37.3;1;Morkel to Hussey, 1 run short on middle, worked away towards deep square leg to get off the mark;
37.2;?;Morkel to Hussey, no run back of a length outside off, David Hussey lets it go;
37.1;1;Morkel to Hussey, 1 run on the stumps, tucked away towards fine leg for a single;
36.6;1;Duminy to Hussey, 1 run driven down the ground towards long-off for a single;
36.5;?;Duminy to Hussey, no run dropped, quicker one bowled full outside off, driven uppishly wide of de Villiers who flings himself to his left at short cover but fails to latch on to a sharp one;
36.4;W;Duminy to Ponting, OUT tossed up on the stumps this time and is tempted to go at it again, strikes it clean and high but not well enough as he fails to beat van der Merwe at long-on who takes a well-judged catch. Duminy does the trick.;Ricky Ponting c van der Merwe b Duminy 40 (68m 45b 2x4 1x6) SR: 88.88;
36.3;6;Duminy to Ponting, SIX runs Big one! Flighted outside off, charges down the track and smashes it into the stands over the bowler's head, finally!;
36.2;1;Duminy to Hussey, 1 run short of a length outside off, cut away towards point where a slightly fumble by Smith allows them to sneak a single;
36.1;1;Duminy to Ponting, 1 run short of a length on middle, gets forward to turn it fine, gets a top edge but wide of short fine for a single;
35.6;2;Steyn to Hussey, 2 runs fired in on leg stump, tucked away in the vacant gap between fine leg and square leg, the fielder from the deep takes a while running in and they grab a couple;
35.6;1w;Steyn to Hussey, 1 wide bouncer, misdirected, down the leg side and it's given a wide, the first of the innings;
35.5;1;Steyn to Ponting, 1 run banged in short on middle this time, gets back and pulls it away to deep square leg;
35.4;4;Steyn to Ponting, FOUR runs Ponting's lucky, it's full and wide and he is tempted into the drive, the ball holds its line and he gets an inside edge wide of a diving keeper to the fine-leg boundary;
35.3;?;Steyn to Ponting, no run short and wide, cut away to point, struck down hard but straight to the fielder;
35.2;1;Steyn to Hussey, 1 run short of a length outside off, guided past slip towards third man;
35.1;1;Steyn to Ponting, 1 run short of a length on the off, dropped short of cover for a quick single;
34.6;1;Duminy to Ponting, 1 run pushed through to long-on off the front foot;
34.5;1;Duminy to Hussey, 1 run flighted outside off, goes at it hard, more out desperation, ends up slicing it high but falls safely short of deep cover;
34.4;?;Duminy to Hussey, no run quicker through the air, and bowled flatter on the off stump, tries to chop it down wide of point, gets an inside edge onto his pads;
34.3;1;Duminy to Ponting, 1 run flighted on middle, gets across the line and dabs it behind square;
34.2;1;Duminy to Hussey, 1 run tossed up on the off, comes down the track and pushes it wide of Duminy for a single;
34.1;1;Duminy to Ponting, 1 run flighted on middle, driven down the ground to long-on;
33.6;?;van der Merwe to Hussey, no run on middle and off, defended off the front foot to short cover;
33.5;1;van der Merwe to Ponting, 1 run tossed up on middle, comes forward and chips it uppishly, just wide of AB at short cover for a single wide of long-off;
33.4;2;van der Merwe to Ponting, 2 runs slightly short on the off stump, moves back and chops it wide of deep point for a couple;
33.3;1;van der Merwe to Hussey, 1 run pushed through the line to long-off;
33.2;?;van der Merwe to Hussey, no run short on middle, punched off the back foot to midwicket;
33.1;?;van der Merwe to Hussey, no run short of a length on the off and spinning in, pushed back to Hussey;
32.6;1;Duminy to Hussey, 1 run short on leg stump, gets on the back foot and tickles it behind square;
32.5;?;Duminy to Hussey, no run tossed up on the off stump, gets forward and presents the full face but fails to beat the bowler;
32.4;1;Duminy to Ponting, 1 run short of a length outside off, gets back and punches it to deep cover;
32.3;1;Duminy to Hussey, 1 run flighted on the off stump, bunts it down the ground to long-off;
32.2;?;Duminy to Hussey, no run thrown up on the leg stump this time, pushed to midwicket;
32.1;?;Duminy to Hussey, no run flighted on middle, dipping into the left hander, defended towards cover;
31.6;?;van der Merwe to Ponting, no run tossed up on middle, a low full toss, pushed back to van der Merwe, an excellent over that;
31.5;?;van der Merwe to Ponting, no run on the stumps, pitched on a good length, Ponting defends with a lunge;
31.4;1;van der Merwe to Hussey, 1 run fuller on the off, gets forward and pushes it wide of cover to get off the mark;
31.3;?;van der Merwe to Hussey, no run slightly short on middle and off, dabbed back to the bowler;
31.2;?;van der Merwe to Hussey, no run over the wicket to the left hander, landed on a good length outside off and spun in, defended back to the bowler;
31.1;W;van der Merwe to Ferguson, OUT Fergie goes! An abrupt end to a good stand, quicker one the off stump, lands full, he drives through the line but ends up chipping it straight to de Villiers at short cover who takes a sharp chance;Callum Ferguson c de Villiers b van der Merwe 41 (29m 33b 5x4 0x6) SR: 124.24;
30.6;1;Duminy to Ferguson, 1 run the same fielder back in action, short on leg stump, slaps it into the deep;
30.5;1;Duminy to Ponting, 1 run sliding on the pads, turned away to deep square leg;
30.4;1;Duminy to Ferguson, 1 run on middle and leg, bunts it down to long-on;
30.3;?;Duminy to Ferguson, no run pushed back off the front foot to the bowler;
30.2;1;Duminy to Ponting, 1 run tossed up on middle, chips it over the infield but falls just short of deep midwicket;
30.1;1;Duminy to Ferguson, 1 run flighted on middle, driven down the ground to long-on;
29.6;1;van der Merwe to Ferguson, 1 run cut away again but not as well, gets a single wide of point;
29.5;1;van der Merwe to Ponting, 1 run short on middle and off, pushed wide of cover for a single;
29.4;1;van der Merwe to Ferguson, 1 run tossed up on middle, struck cleanly to long-off;
29.3;4;van der Merwe to Ferguson, FOUR runs too wide, short and wide, cut away hard behind point, these two have helped their team recover well after that post-drinks wobble;
29.2;?;van der Merwe to Ferguson, no run;
29.1;2;van der Merwe to Ferguson, 2 runs short and quick outside off, cut away in front of cover for a couple;
28.6;1;Duminy to Ferguson, 1 run and again, flighted and full on the off, gets forward and pushes through the line to long-on;
28.5;1;Duminy to Ponting, 1 run punched to long-on for a single;
28.4;1;Duminy to Ferguson, 1 run worked away off the back foot into the leg side for a single;
28.3;?;Duminy to Ferguson, no run cramped him for space this time, fired in on middle and leg, dropped onto the pitch;
28.2;2;Duminy to Ferguson, 2 runs pitched in short outside off, waited for it to spin into him and chopped it behind point for a couple;
28.1;1;Duminy to Ponting, 1 run short on middle and leg, turned away wide of short fine;
27.6;4;Ntini to Ferguson, FOUR runs superb shot, was aiming for the yorker then, fired it full on middle, Ferguson made room and drilled it wide of cover, timing it beautifully to beat both deep cover and long-off;
27.5;?;Ntini to Ferguson, no run back of a length on the off and darting back in, dropped into the leg side;
27.4;2;Ntini to Ferguson, 2 runs a touch too wide this time , sliced into the gap between third man and deep point for a couple;
27.3;1;Ntini to Ponting, 1 run much straighter on middle this time, struck hard towards midwicket, a fumble following a valiant dive allows them a single;
27.2;?;Ntini to Ponting, no run overpitched again, square-driven straight to de Villiers at point who dives well to his right to prevent a couple of runs;
27.1;1;Ntini to Ferguson, 1 run full outside off, driven off the front foot wide deep cover but the fielder does well to rocket a good throw back in to keep them down to just a run;
26.6;?;Duminy to Ponting, no run full outside leg stump, tickled to short fine, no run though, good over from the part-timer;
26.5;1;Duminy to Ferguson, 1 run short on leg stump, whipped away to deep square leg;
26.4;1;Duminy to Ponting, 1 run comes down the track and drives it down the ground to long-on;
26.3;?;Duminy to Ponting, no run pushed into the off side towards point;
26.2;?;Duminy to Ponting, no run tossed up on middle, driven hard but straight to short midwicket;
26.1;1;Duminy to Ferguson, 1 run on middle and leg, worked away towards short fine;
25.6;1;Ntini to Ferguson, 1 run pushed off the front foot wide of short midwicket for a single;
25.5;4;Ntini to Ferguson, FOUR runs unlucky! Ferguson had already made room and Ntini tried to follow him, pitched in short on middle and leg, the batsman tried to dab it into the off side, got the inside edge to just evade the leg stump and beat the fine-leg fielder;
25.4;?;Ntini to Ferguson, no run banged in short on the off stump, Ferguson leapt to drop it down the on the off side, it caught the high-end of the bat to fall just short of point;
25.3;4;Ntini to Ferguson, FOUR runs short on the off stump, played it deliberately, waited for it come to him and opened the face at the last moment to beat the keeper, and third man, to the boundary;
25.2;1;Ntini to Ponting, 1 run well bowled, short on the off and came back in, the movement caught Ponting by surprise, played it well in the end, dropping it down with soft hands behind point;
25.1;1;Ntini to Ferguson, 1 run full on the off stump, closes the face to play it wide of midwicket for a single;
24.6;2;van der Merwe to Ponting, 2 runs quicker one, full on the off, chipped wide of Ntini at long-off, he's a little late onto it and they get an easy couple;
24.5;1;van der Merwe to Ferguson, 1 run fullish on leg stump, tickled wide of square leg;
24.4;?;van der Merwe to Ferguson, no run quicker one on middle and leg, dabbed at it hard, lobbed up well in front of midwicket;
24.3;1;van der Merwe to Ponting, 1 run worked away behind square for a single;
24.2;1;van der Merwe to Ferguson, 1 run quicker one bowled full on the off stump, tries to drive it with a full face, gets an inside edge onto his pads;
24.1;1;van der Merwe to Ponting, 1 run short outside leg stump, tries to paddle it down fine, plays it onto his pads but gets a single;
23.6;1;Morkel to Ponting, 1 run full on the off stump, Ponting gets to the pitch and punches it to deep cover;
23.5;1;Morkel to Ferguson, 1 run slightly overpitched on middle, turned away wide of midwicket in front of mid-on for a single;
23.4;?;Morkel to Ferguson, no run fuller on the off stump, pushed in the direction of point off the front foot;
23.3;?;Morkel to Ferguson, no run punched into the off side on the back foot, slightly short again;
23.2;4;Morkel to Ferguson, FOUR runs back of a length outside off, gets back, and opens the face to guide it perfectly in the gap between third man and deep point, the quick outfield did the rest;
23.1;?;Morkel to Ferguson, no run bowled on a good length on the off stump, defended back to the bowler;
22.6;?;van der Merwe to Ponting, no run tossed up outside leg, swept straight to short fine;
22.5;W;van der Merwe to Clarke, OUT Clarke goes! Pushed in short on middle, Clarke got on the front foot and pulled it straight o Duminy, running to his right from deep square leg, not a fully committed pull that, more a short-arm one and though he timed it well, he couldn't get the distance;Michael Clarke c Duminy b van der Merwe 66 (96m 60b 10x4 0x6) SR: 110;
22.4;?;van der Merwe to Clarke, no run short of a length on the middle stump, defended off the back foot towards cover;
22.3;1;van der Merwe to Ponting, 1 run flighted on the off, driven through the line to long-off;
22.2;?;van der Merwe to Ponting, no run short of a length outside off, kept a little low as Ponting made room for a cut, just missed the off stump;
22.1;1;van der Merwe to Clarke, 1 run tossed up on middle and leg, comes down the track and drives it to deep midwicket;
21.6;4;Morkel to Ponting, FOUR runs will he regret doing that now? Full on the off stump, Ponting drives at it hard, the ball kisses the outside edge and rolls down the third-man boundary;
21.5;1;Morkel to Clarke, 1 run full on middle and leg, driven through the line to long-on;
21.4;1;Morkel to Ponting, 1 run on middle and off, pushed wide of the bowler towards long-on;
21.3;?;Morkel to Ponting, no run full and wide, gets forward to tries to drive it through the covers, goes at it hard but the away movement beats him;
21.2;?;Morkel to Ponting, no run good length on the off, pushed off the front foot to mid-off again, South Africa have pulled things back somewhat after drinks;
21.1;?;Morkel to Ponting, no run full on the off stump, driven back to the bowler;
20.6;1;van der Merwe to Ponting, 1 run finds the gap this time, crunches it through the infield towards deep cover to get off the mark;
20.5;?;van der Merwe to Ponting, no run quicker one bowled full on the off, pushed to cover;
